STATE,BLOODBANKS.NO,BLOODBANK_DETAILS,,,
MAHRASHTRA,71,"K.E.M.  Hospital,  Mathurabai   Vashisth  Blood  Bank, Rasta Peth, Pune",,,
MAHRASHTRA,72,"Poona Chest Hospital Blood Bank, Aundh Camp, Pune",,,
MAHRASHTRA,73,"Poona Medical Foundation,
A.H. Wadia Trust, Ruby Hall Blood Bank, Pune -1",,,
MAHRASHTRA,74,"Poona  Medical  Relief  &  Research  Foundation,  Poona Serological Inst., Blood Bank, Rasta Peth, Pune",,,
MAHRASHTRA,75,"Sasoon General Hospital Blood Bank, Pune -1",,,
MAHRASHTRA,76,"Krantiveer   Chapekar  Bandhu   Talera  Hospital  Blood Bank, Pimpri, Pune",,,
MAHRASHTRA,77,"Vishweshar Blood Bank, CTS  171 A Pimpri, Pune",,,
MAHRASHTRA,78,"Noble Hospital Blood Bank,153 Magarpatta city Hadapsar, Pune",,,
MAHRASHTRA,79,"Pimpri   Serological   Institute   Blood   Bank,Kharalwadi, Pimpri, Pune",,,
MAHRASHTRA,80,"Sahyadri    Speciality    Hospital     Blood    Bankl    30C Erandwane, Karve Road, Pune",,,
MAHRASHTRA,81,"Aditya     Birla     Memorial     Hospital     Blood     Bank,
Chinchwad, Pune",,,
MAHRASHTRA,82,"Rakesh  Jain  Memorial  Blood  Bank,  27  Sadashiv  Peth, Pune",,,
MAHRASHTRA,83,"Kashibai  Navale  Gen.  Hospital  Blood  Bank  Nrhe,  Tal. Haveli, Pune",,,
MAHRASHTRA,84,"Chakan Blood Bank, Chakan, Tal. Khed, Pune",,,
MAHRASHTRA,85,"Indian  Red  Cross  Soc.?s  Late  Manikbai  Chandulal  Saraf
Blood Bank, Baramati, Pune",,,
MAHRASHTRA,86,"Pune Blood Bank,
Hadapsar, Pune",,,
MAHRASHTRA,87,"Gholap Blood Bank, satara Road, Parvati, Pune",,,
MAHRASHTRA,88,"Civil   Surgeon,   General    Hospital    Blood   Bank,   Dr. Ambedkar Nagar, Sangli",,,
MAHRASHTRA,89,"Indian   Red   Cross   Society   Dr.   Shirgaonkar   Blood Bank,49/601/7 Shirgaonkar
Bldg., Sangli",,,
MAHRASHTRA,90,"Islampur   Medical    Foundation,    Rajarambapu   Blood
Bank, Islampur, Tal. Walva, Sangli",,,
MAHRASHTRA,91,"Smt. Anila Kantilal Kothari  Blood Bank & Department
of Hoemalo-Oncology, 892/2A, Miraj, Dist. Sangli",,,
MAHRASHTRA,92,"Miraj   Medical   Centre  Blood   Bank,Wanles   Hospital, Sangli",,,
MAHRASHTRA,93,"Dr.Kailas  Umaji  Sanamadikar  Trustree,  Jeevan  Rekha
Charitable Trust, Jath, Sangli",,,
MAHRASHTRA,94,"Vasant Dada Patil Blood Bank
& Hematology Research CentreMiraj, Sangli,",,,
MAHRASHTRA,95,"Hindmata  Prakashbapu  Patil  Blood  Bank,  Miraj  Road,
Sangli",,,
MAHRASHTRA,96,"Bharati   Vidyapeeth   University    Medical   College   and Hospital Blood Bank, Wanlesswadi, angli",,,
MAHRASHTRA,97,"Miraj Serological Inst. Blood Bank, miraj, Sangli",,,
MAHRASHTRA,98,"Akshay Blood Bank, Miraj, Sangli",,,
MAHRASHTRA,99,"Akshay Blood Bank,  Sadar Bazar,
Satara",,,
MAHRASHTRA,100,"Cottage Hospital Kutir Blood Bank,   Karad,
Satara",,,
MAHRASHTRA,101,"Jilha Shalya Chikitsak Civil
Surgeon General Hospital Blood Bank,,Satara",,,
MAHRASHTRA,102,"Krishna    Hospital    &    Medical     Research     Centre, Dhebewadi Road, Karad, Satara",,,
MAHRASHTRA,103,"Mauli   Charitable   Trust,   Mauli    Blood   Bank,Sadar Bazar, Satara",,,
MAHRASHTRA,104,"Phaltan Medical Foundation  Blood Bank, Laxminagar,
Phaltan, Satara",,,
MAHRASHTRA,105,"Yashwantrao Chavan Blood Bank,Karad, Satara",,,
MAHRASHTRA,106,"General Hospital,
Solapur Blood Bank, Solapur",,,
MAHRASHTRA,107,"Dr.Hedgewar Blood Bank, Navi Peth, Solapur",,,
MAHRASHTRA,108,"Indian     Medical     Association,     Sahkar     Maharshi
Shankarao Mohite Patil Blood Bk, Akluj, Solapur",,,
MAHRASHTRA,109,"Indian   Red   Cross   Society,   Gopabai   Damani   Blood Bank,dufferin chowk, Solapur",,,
MAHRASHTRA,110,"Indian  Red  Cross  Society,  Smt.Sarjubai  Bajaj  Blood Bank,Pandharpur, Solapur",,,
MAHRASHTRA,111,"Indian   Red   Cross   Societys   Shriman   Rambhai   Shah Blood Bank, Barshi, Solapur",,,
MAHRASHTRA,112,"Shri  Markandeya  Blood  Bank,  IBolli  Mangal  Karlaya,
Solapur",,,
MAHRASHTRA,113,"Jeevanjyot Charitable Trust  Solapur Blood Bank, Anjani
Chambers, 136 Railway Lines, Solapur",,,
MAHRASHTRA,114,"Akshay Blood Bank, Sadar Bazar, Solapur",,,
MAHRASHTRA,115,"Athar Blood Bank, Shukrawar Peth, Solapur",,,
MAHRASHTRA,116,"Civil Surgeon,Chatrapati Pramilaraje General Hospital,
Kolhapur",,,
MAHRASHTRA,117,"Dr.C.H.Kavachale     City     Blood     Bank,Rajarampuri, Kolhapur",,,
MAHRASHTRA,118,"Annasaheb    Galatge    Lions    Blood    Bank,    Ru    by
Gadhinglaj   Lions  Welfare   Association   ,   Gadhinglaj, Kolhapur",,,
MAHRASHTRA,119,Kolhapur Municipal Corporation  Blood Bank Kolhapur,,,
MAHRASHTRA,120,"Late Balasaheb Date Lion  Blood Bank, Kchalkaranji,
Kolhapur",,,
MAHRASHTRA,121,"Mahatma Gandhi Blood Bank , New Pargaon, Kolhapur",,,
MAHRASHTRA,122,"Padmashree   Dr.D.Y.Patil   Medical   College  Hospital  & Research Institute, Kadamwadi,  Kolhapur",,,
MAHRASHTRA,123,"Rajashri  Shahu  Blood  Bank  ,   Collector  office  Road,
Kolhapur",,,
MAHRASHTRA,124,"Sou    Sushila    Danchand    Ghodawar    Charitable    Trust
Sanchalit Acharya Shree Tulasi Blood Bank,",,,
MAHRASHTRA,125,"Arpan Blood Bank, Laxmipuri, Kolhapur",,,
MAHRASHTRA,126,"Vaibhavlaxmi Blood Bank, Rajaram Road, Kolhapur",,,
MAHRASHTRA,127,"The   new   century   Medical   &   Educational   foundation malegaon,  Nashik,  NCORD  Blood  Bank  &  Aphaeresis centre,   S.   No.   241/2/1,   Geet   ganga  bldg.,   Medipoint
Hospital lane, Baner, Pune -7",,,
MAHRASHTRA,128,"Ekta  Apang  Vikas  Sanstha's  Ayush  Blood  Bank,  office no.   17/18/19,   1st   floor,   sunshree   woods   commercial
complex, NIBM,  Kondhwa, Tal. Haveli, Dist. Pune - 28.",,,
MAHRASHTRA,129,"Chattrapati   Shahu   Maharaj   Pratisthan's   Aadhar   Blood Bank,  S.No. 30, 4th floor, office no. 41,  402, 403, & 5th floor    off    502,    waris    Heights,    Pune-Satara    Road,
Dhankwadi, Pune -30.",,,
MAHRASHTRA,130,"Shree    Basveshwar    Manav    vikas    gramin    sevabhavi sanstha's  Adarsh  Blood  Bank,  Arihant  Galaxy,  1st  floor,
C.S. No. 1599, Opp. Civil Hospital, Garpir Road, Sangli",,,
MAHRASHTRA,131,"Azad  Panchi's  Group's  Siddheshwar  Blood Bank,  Kalyani Towers,    126    Siddheshwar    Peth,    Near    Yashwantrao
Hospital Behind, civil court, Solapur",,,
MAHRASHTRA,132,"Vande   mataram  samajik  Samstha's   Jeevandhara  Blood Bank, Ground  floor, & 1st floor, 1648 E Ward, 7th  lane,
Kolhapur",,,
MAHRASHTRA,133,"Sanjeevan Blood Bank, 250/B/65, 1st floor, lucky naresh
banglow, opp collector office, nagala Park, Kolhapur",,,
MAHRASHTRA,134,"Azad Panchi Group Charitable  Trust's , Miraj Serological Institute  Blood  Bank,  Civil  Hospital  Ganesh  Nagar,  1st
lane, S. No. 1682, Sangli-416416",,,
MAHRASHTRA,135,"Anil  Abant  Memorial  Foundation.  Shrirampur  Blood
Bank Shrirampur, Ahmadnagar",,,
MAHRASHTRA,136,Atul   Medical   and   Rehabilitation   Societies   Arpan Blood Bank Sangamner,,,
MAHRASHTRA,137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Medical collage, Milk dairy Vadgaon, MIDC A?Nagar
414111",,,
MAHRASHTRA,138,"Jankalyan Blood Bank, Gadgil Patangan, Nalegaon,
Ahmedngar",,,
MAHRASHTRA,139,"Pravara  Medical  Trusts  Blood  Bank,Lone  Bk., Tal: Shrirampur",,,
MAHRASHTRA,140,"Shri Sainath Blood Bank, Shirdi, Tal:Rahta",,,
MAHRASHTRA,141,"Ahmednagar Mun.Council, Balasaheb Deshpande,",,,
MAHRASHTRA,142,"Civil Surgeon, General Hospital Blood Bank",,,
MAHRASHTRA,143,"Jondhales              Nityaseva              Blood              Bank, ShrirampurAhemadnagar",,,
MAHRASHTRA,144,"M/s Poonam Janjagruti  Sanstha  Sanchalit  ?Astavin ayak
Blood  Bank,  Skylab  Superspeciality    Sai    Palace,  1  st Floor, Opp.
Akashvani   Kendra,   Near   Professor   colony   Chowk, Ahmednagar",,,
MAHRASHTRA,145,"Rotary   Blood   Bank,    Acharyashri RahuriAhemadnaga, Anandshri   Bhavan",,,
MAHRASHTRA,146,"Sanjivani  Blood   Bank, Vivekanandnagar,Kopargaon, Nishigandha",,,
MAHRASHTRA,147,"Anand   Rushiji   Blood   Bank      S.No.   16/1,   Behind Anandirishiji  Hospital  Burudgaon  Road,  Ahmednagar-
414001",,,
MAHRASHTRA,148,"Jeevanraj   Charutable   Foundation,   Ahemadnagr,   Blood Bank,  FP  No.  17,  2nd  Floor,  Ahmednagar  Zillha  Krishi Audyogik Sarva  Seva, Sahakari Sanstha, Maryadit,Market
Yard, Ahmednagar",,,
MAHRASHTRA,149,"M/s  Nandkishor      Education  Society,  Arpan  Voluntary
Blood Bank, ,1 st  Ahmednagar  1 st  floor,Sahakar  Kranti Building,Market yard,Nagar Pune Road Ahmednagar",,,
MAHRASHTRA,150,"Bhausaheb  Hire  Medical   College   &  Hospital,  Blood bank, Dhule
Govt.  Hospital.  (Civil Surgeon, General Hospital Blood
Bank",,,
MAHRASHTRA,151,"Janseva   Blood   Bank,   1415/A,Fulwala   Chowk,   Agra
Road, Dhule  Private TrustDhule",,,
MAHRASHTRA,152,"Jawahar  Medical   Foiundation,Blood   Bank,Morane,
Dhule",,,
MAHRASHTRA,153,"19Jeewan    Jyoti    Blood    Bank,3252,    Agra    Road, DhuleDhule",,,
MAHRASHTRA,154,"Shri  Navjeevan  Blood  Bank,  Sushilnagar,  Near  Vaibhai
Nagar, Dhule",,,
MAHRASHTRA,155,"21Dhanwantari  Blood  Bank  Anandnagar,  Bhusawal,Dist JalgaonJalgaon",,,
MAHRASHTRA,156,"Jalgaon    Janta    Co-opBank,    Madhavrao    Golwalkar
Swayansevi Raktapedhi, 273, Navi Peth Jalgaon",,,
MAHRASHTRA,157,"23General Hopital,Blood  Bank, Jalgaon Govt
.Hospital",,,
MAHRASHTRA,158,"Indian Red Cross  Society,Askaran  Tarachand  Jain,Blood
Bank,Chopda",,,
MAHRASHTRA,159,"Jeevanshri  Rakta  Pedhi,  1st  Floor,  Rasmanju  Complex,
Bhagwat Road,AmalnerJalgaon",,,
MAHRASHTRA,160,"Jeevansurbhi       Blood       Bank,10/Chalisgaon 12C,Laxminagar,",,,
MAHRASHTRA,161,"Indian Red Cross  Society,Askaran  Tarachand  Jain,Blood
Bank,JalgaonJalgaon",,,
MAHRASHTRA,162,"Godavari  Foundations,  Dr.  Ulhas  Patil  Medical  Collage and Hospital Blood Bank  2nd Floor, Gat No.
315/316/321 & 305 A Part,
Jalgaon   Bhusalwal   Road,   NH   No.   6,   Jalgaon(KH)",,,
MAHRASHTRA,163,"29Jankalyan Blood Bank,1stFloor,  Vivekanand Hospital,
NandurbarNandurbar",,,
MAHRASHTRA,164,"Civil Surgeon, Civil Hospital,Nandurbar",,,
MAHRASHTRA,165,"Ansar   Blood   Bank,1398/1,   Islampura,   Qidwai   Road, MalegaonNasik",,,
MAHRASHTRA,166,"Rochabai  Sugnomal  Manwani, Blood Bank, &  General Hospital, Deolali
Camp,NasikNashik",,,
MAHRASHTRA,167,"Seva  Blood  Bank,3,  Nilkantha  Bldg.  Satana  Road,
Malegaon",,,
MAHRASHTRA,168,"Arpan  Blood  Bank,,  Athavale  Chembers,  Tilak  Road,
NasikNasik",,,
MAHRASHTRA,169,"Civil Surgeon, Civil Hospital,Trimbak Road, Nasik",,,
MAHRASHTRA,170,"J.D.C.Bytco     Hospital     &     Blood     Bank,     NMC
Hospital,NasikRdNasik",,,
MAHRASHTRA,171,"Jankalyan  Blood  Bank,  3,  Shree  Nagar  Old  Ganagapur
Naka, Sharanpur Road,Nasik",,,
MAHRASHTRA,172,"Lt.Col.Sainik           Aspatal,Milit      ary     Hospital,Blood
Bank,Deolali",,,
MAHRASHTRA,173,"Samta   Blood   Bank   Syoji   Commercial   Complex   1st floor,    Above   Vishal   Mega    Mart,   Mumbai   Naka, Mumbai Agra Road,
Nashik-422001Nasik",,,
MAHRASHTRA,174,"HAL Ozar  Township infront  of  GEM  High  School  Ozar
Tal. Niphad Dist. Nashik",,,
MAHRASHTRA,175,"M/s.  N.D  M.V.P.S  Medical  college  &  Hospital    Blood
Bank, Adgaon NashikNasik",,,
MAHRASHTRA,176,"Malegaon   Blood   Bank50,   Tipre   Colony,   CampRd.
Malegaon",,,
MAHRASHTRA,177,"Sanjeevani    Blood    Bank    Krushna-Chaya    Bangla,Plot No.10/11  Kurdukar  Nagar  Behind  Fame Theatre  Nashik
Puna Road, Nashik- 422006",,,
MAHRASHTRA,178,"M/s Medical Superintendent
,Regional  Referral Hospital Blood Bank Situated at  ?Super Specialty
Hospital, Shalimar Chauok, NashikNasik",,,
MAHRASHTRA,179,"M  /s  Jijau  Mahila  Sevabhavi  Sanstha?s    Nashik  Blood Bank   &   Transfusion   Research   Institute,   Situated   at ?Ishwar    Krupa?    Ganesh    Nagar,Tidke    colony,    Near
Chandak circle, Nashik 422 002",,,
MAHRASHTRA,180,"M/s Arpan Blood Bank,Dhule",,,
MAHRASHTRA,181,"Late Shri MukeshBhai Patel Blood Bank ,Shirpur Dhule",,,
MAHRASHTRA,182,"Shahada Blood Bank,Shahada",,,
MAHRASHTRA,183,"M/s.  Vaidhya  Blood  Bank,   Jeevan  Jyot  Hospital,  1st
Floor, Shree Satyam Co.op.premises,  M.G.Road, Naupada,Thane",,,
MAHRASHTRA,184,"M/s. Vithal Saynna General  Hospital Blood Bank,  Thane
Civil Hospital Compound, Thane",,,
MAHRASHTRA,185,"M/s.Navjivan   Blood   Bank?   Prakash   Bhavan,   Gokhale
Road, Naupada, Thane(W)",,,
MAHRASHTRA,186,"M/s.   Tissa   Blood   Bank,   Road   No.16,  Wagle   Estate,
Thane",,,
MAHRASHTRA,187,"M/s. Chatrapati  Shivji  Maharaj  Ruganalaya Blood  Bank,
Kalwa",,,
MAHRASHTRA,188,"M/s. Patangshah Cottage Hospital Blood Bank, Jawhar",,,
MAHRASHTRA,189,"M/S.  Jupiter  Blood   Bank,   Eastern   Express  Highway,
Thane",,,
MAHRASHTRA,190,"M/s.  Kai  Wamanrao  Oka  Raktapedhi,  R.S.S  Jankalyan
Samiti, Ghantali, Thane",,,
MAHRASHTRA,191,"M/s.   Blood   Bank   Swargiya   Dharmvir   Anand   Dhige Sankul,  Near  Vikas  Pharm,  Dr.  Ambedkar  Road,  Thane
(West)",,,
MAHRASHTRA,192,"M/s.   Sankalp   Blood   Bank,   Riddhi-Siddhi   Hospital,
Murbad Road Kalyan (West)",,,
MAHRASHTRA,193,"M/s.   Chidanand   Charitable   Trust,   Dombivali,   Siddhi
Hospital, Bajiprabhu Chowk, Dombivali (East)",,,
MAHRASHTRA,194,"M/s.   Plasma   Diagnostic    Blood   Bank,    Dombivali
Meghdoot Bldg., Gopal Nagar, Dombivali (East)",,,
MAHRASHTRA,195,"M/s.    Kalyan    Dombivali    Municipal    Corporation sponserd  Nandkishore  Edu.  Soc.Arpan  Blood  Bank, Component &
/Apheresis     Centre    Bai     Rukhaminibai     Hospital
Kalyan(W)",,,
MAHRASHTRA,196,"M/s.    Seva    Blood    Bank,    Pushpadev    Apartment,
Basement  Opp.Manav  Kalyan  Kendra,  Near  Sarvesh Hall, Dombivali.",,,
MAHRASHTRA,197,"M/s. Central Hospital Blood Bank, Ulhasnagar-3",,,
MAHRASHTRA,198,"Smt.Chedda    Amrutvahini    Blood    Bank,    2nd    floor, Ashirwad Apartment,
Dahanu (East), Dist.Thane",,,
MAHRASHTRA,199,"M/s.   Navi   Mumbai   Municipal   Corporation   Hospital Blood   Bank,   Near    St.   Mery   Church,    Sector    10,
Vashi,Navimumbai",,,
MAHRASHTRA,200,"M/s. JVP Blood Bank &  Transfusion Centre (A Unit  of JVP)  201,  213,  Arenja  Arcade  (Next  to  Apna  BAzar),
Sector 17, Vashi, Navi Mumbai.",,,
MAHRASHTRA,201,"M/s.Continental  Medicare  Education  Padmashree  Dr.D. Y.Patil Hospital & Research Centre, Sector 5, Nerul, Navi
Mumbai ? 400706.",,,
MAHRASHTRA,202,"M/s.  Mahatma  Gandhi  Mission  Medical  College  and Hospital Kamothe, Sector-18, Navi-Mumbai- 410209",,,
MAHRASHTRA,203,"M/s.    Sanjeevan    Blood    Bank,    1st    floor,Indravati Hospital, Sector-3 Airoli,
Navi Mumbai",,,
MAHRASHTRA,204,"M/s.  Khatiya  Charitable  Trust?s,  Bhiwandi  Blood  Bank,271, 2nd floor, d Al
Hera  Shopping  Centre,  Old   Yakub  Road,  Teen  Batti, Bhiwandi",,,
MAHRASHTRA,205,"Mira Bhayander Munivipal Corporation Blood Bank, 192 &  193  Mira  Bhyander   Corporation  Hospital,   Poonam
Sagar, Mira Road",,,
MAHRASHTRA,206,"M/sTarapur   Atomic   Power    Station   Hospital   TAPS
Hospital  TAPS  1  &  2   (Anushri)  Colony,   PO.TAPP, Tal.Palghar, dist.Thane",,,
MAHRASHTRA,207,"M/s.  Sarla  Blood  Bank,   Ravi   Hospital,   First   Floor,
Anand Nagar, Vasai.",,,
MAHRASHTRA,208,"M/s. Swargiya Shri Waman Hari Pethe Smriti,
M/s. Sanjivani Blood Bank, Virar(West)",,,
MAHRASHTRA,209,"M/s.  Vijayee  Blood  Bank,  1st  floor,  Andrades  Bhavan, Near Papdi Telephone
Exchange, Papdi, Vasai (West) Dist.Thane.",,,
MAHRASHTRA,210,"M/s. General Hospital Sindhudurg, Dist.Sindhudurg",,,
MAHRASHTRA,211,"M/s.  Cottage  Hospital  Blood  Bank,  Sawantwadi,  Tal.
Sawantwadi, Dist.Sindhudurg",,,
MAHRASHTRA,212,"Advanced Center for Treatment Reasearch and  Education
in   Cancer,   Tata    Memorial    Center    Kharghar,    Navi Mumbai",,,
MAHRASHTRA,213,"M/s.   District   Civil   Hospital    Blood   Bank   Alibag,
Dist.Raigad",,,
MAHRASHTRA,214,"Ms.  Jankalyan  Blood  Bank,   Late  Kaka  Saheb  Chitale
Smruti Kendra, Mahad, Dist. Raigad.",,,
MAHRASHTRA,215,"Shree  Sai  Medical  Trust?s  M/s.  Shri  Sai  Blood  Bank, 103,104,105 Panvel
Dsit.Raigad",,,
MAHRASHTRA,216,"Rotary   Club   of   New   Panvel   Charitable   Trust?s   Late Dr.B.V.Limaya  Blood  Bank,   Plot  No.8,  Sec.1,  umbai- Pune   Highway,   Khandala   Colony,   New   Panvel(W.),
Raigad",,,
MAHRASHTRA,217,"District Civil Hospital, Ratnagiri",,,
MAHRASHTRA,218,"Indian Red Cross society, Khareghat road, Ratnagiri",,,
MAHRASHTRA,219,"Swami     Samarth    Blood     Bank,     At.Post     Dervan
Tal.Chiplun, Dist.Raigad",,,
MAHRASHTRA,220,"M/s.    M.B.More    Foundations,    LateDattaji    Rao    G- Thakare  Blood  Bank,  House  No.412,  Mangaon  Morba
Road, Tal.Mangaon, Dist.Raigad",,,
MAHRASHTRA,221,"M/s.Gor  Banjara Seva  Blood Bank,  Pushpadev  partment, Basement  Opp.Manav Kalyan Kendra,  Near Sarvesh Hall,
Dombivali.",,,
MAHRASHTRA,222,"MGM  Medical  College  &  Hospital  Blood  Bank,  N-6
CIDCO, Aurangabad.",,,
MAHRASHTRA,223,"Dr.    Babasaheb    Ambedkar    Vaidyakiya    Pratishthan's Dattaji Bhale Blood Bank,  Hedgewar Hospital Compound
Garkheda, Aurangabad",,,
MAHRASHTRA,224,"Marathawada  Medical  Research  and  Rural  Development
Institution Seth Nandlal Dhoot Hospital Blood Bank, A-1,MIDC,
Chikalthana",,,
MAHRASHTRA,225,"Sarla  Blood  Donation  Society's  Lokmanya  Blood  Bank, Gopinath Chambers,
Adalat Road",,,
MAHRASHTRA,226,"Coral    Woman's    Educational    &    Welfare    Society's Marathwada Blood Bank, Sonia Chambers, Seven
Hills, Jalna Road",,,
MAHRASHTRA,227,"Jalna   Vaidyakiya   Seva   Prathishtan's   Jankalyan   Blood Bank,  Wing  No-03,  S,  No  224,  Shri  Chatrapati  Shivaji Maharaj  Bazar  Sankul,  Old  Cotton  Market  Yard,  Jalna
Dist Jalna",,,
MAHRASHTRA,228,"Civil Suirgen, General Hospital , Balod Bank Jalna",,,
MAHRASHTRA,229,"Jalna Mission Hiospital, Blood Bank, Jalna Dis",,,
MAHRASHTRA,230,"Civil Surgeon, General Hospital,Blood Bank, Beed",,,
MAHRASHTRA,231,"Dean, Swami Ramanand Tirth Arben Medical College
Hospital Blood Bank, Ambejogai Dist. Beed",,,
MAHRASHTRA,232,"Vaidyanath    Servangin   Vikas   Prathisthan   Vaidynath Blood Bank , H. No-8, CS No- 684/22,
Jainnagar,Parli Dist
Beed",,,
MAHRASHTRA,233,"Ashtvinayak Pratishthan?s M/s. Navjivan Blood Bank & Componants, Jalna
Road Beed",,,
MAHRASHTRA,234,"Civil Surgeon, General Hospital
Blood Bank, Parbhani",,,
MAHRASHTRA,235,"Civil   Surgeon,   Government   Medical   College   General Hospital Blood Bank,
Latur",,,
MAHRASHTRA,236,"Indian Red Cross Society, Dr. Bhalchandra , Blood
Bank, Latur",,,
MAHRASHTRA,237,"Smt.  Saraswati  Karad  Blood  Bank,Yashwantrao.  Chavan Rural Hospital Amejogai Road, Latur",,,
MAHRASHTRA,238,"Indian   Red   Cross   Society?s     Nagappa   Amberkhane Blood Bank Nalegaon Road, Udgir Dist Latur",,,
MAHRASHTRA,239,"Atul   Medical   &   Rehabilitation   Society?s   M/S   Arpan Blood  BankH.No  1030,    Ild  Sonawane  Hospital  Main Road
Latur Dist ? Latur",,,
MAHRASHTRA,240,"Civil    Surgeon,    General    Hospital    Blood    Bank, Osmanabad,",,,
MAHRASHTRA,241,"Asmita  Charitable  Trust,  Gunjoti  Shri  Krishna ,  Blood Bank,Dr Patange Hospital Building
,Ajay Nagar Omarga, Tq, - Omarga, Dist- Osmanabad",,,
MAHRASHTRA,242,"Dean, Dr. Shankarrao Chavan Govt. Medical College & Guru
Govindsinghji    Mem     orial    Hospital    Blood     Bank, Vazirabad,
Nanded",,,
MAHRASHTRA,243,"Indian Red Cross  Society & Parshi  Ajuman Trust Blood
Bank, Vazirabad, Nanded",,,
MAHRASHTRA,244,"Golvalkar Guruji Blood Bank, Plot No.2-12-407, Bandhaghat Road,
Vazirabad, Nanded.",,,
MAHRASHTRA,245,"Nandkishor     Educatio   n  Society,s  Arpan   Blood  Bank, Dayma Complex, Doctor
Lane, Nanded",,,
MAHRASHTRA,246,"Nandkishor Education Society Arpan Voluntary, Blood Bank,Mahalaxmi
Nagar, Nanded",,,
MAHRASHTRA,247,"Arpan   Voluntary,    Blood    Bank,Mahalaxmi    Nagar,
Nanded",,,
MAHRASHTRA,248,"JIIU's  Indian  Institute  of    Medical  Science  &  Research, Noor  Hospital Blood Bank,  Warudi, Tq-  Badnapur, Dist-
Jalna",,,
MAHRASHTRA,249,"M/s  Aurangabad  Blood   Bank Opp to  Sparsh  Hospital,
Jawahar Nagar, Akashwani, Aurangabad",,,
MAHRASHTRA,250,"M/s Newlife  Blood  Bank, Plot No 22,  Survey No -389
& 394, Beside Gurudwara, Station Road, Parbhani",,,
MAHRASHTRA,251,"Civil    Surgeon,    General    Hospital    Blood    Bank, Osmanabad,",,,
MAHRASHTRA,252,"Atul   Medical   &   Rehabilitation   Society?s   M/S   Arpan Blood  BankH.No  1030,    Ild  Sonawane  Hospital  Main Road
Latur Dist ? Latur",,,
MAHRASHTRA,253,"M/s  :  Balaji  Blood  bank  ,  Alsi   complex  Ambapeth,
Amravati",,,
MAHRASHTRA,254,"M/s : Civil Surgeon Blood Bank General Hospital Irwin
Chowk  Amravati",,,
MAHRASHTRA,255,"M/s   :   Dr.   Panjabrao   Desmukh   Memoriol   Medical
College     Hospital    and    Blood    Bank    Shivajinagar Amravati",,,
MAHRASHTRA,256,"M/s : Dr. Late Sadanandji  Burma Memorial Blood Bank
Paratwada Dist. Amravati",,,
MAHRASHTRA,257,"M/s.   Sant   Gadgebaba   Blood   Bank   &   Component
Center, Badnera, Amravati",,,
MAHRASHTRA,258,"M/s : Mankar Memorial Blood Bank, Akola",,,
MAHRASHTRA,259,"M/s   :   Civil   Surgeon   General   Hospital   Blood   Bank,
Washim",,,
MAHRASHTRA,260,"M/s : Babasaheb Topale Memorial Blood Bank, Akola",,,
MAHRASHTRA,261,"M/s : Akola Diagnostic Centre
& Blood Bank, Blood  Component Unit, Ramnagar,  Opp.
Gajanan Hosipital, Akola",,,
MAHRASHTRA,262,"M/s : Shriram Blood Bank, Akola",,,
MAHRASHTRA,263,M/s. Dr.Pimparkar Blood Bank Akola,,,
MAHRASHTRA,264,"M/s.Medical Superident, Dist Hosp.for Women, Akola",,,
MAHRASHTRA,265,"M/s.  Reynolds Memorial  Hospital  & Affiliated  clinics
Blood Bank, Washim",,,
MAHRASHTRA,266,"M/s. Dr.Hedgewar Blood Bank, Akola",,,
MAHRASHTRA,267,"M/s. Kantadevi Dale Blood Bank, Washim",,,
MAHRASHTRA,268,"M/s.Medical  Superident,  Laxmibai  Deshmukh  Gen. Hosp.& Blood
Bank, Murtizapur Dist Akola",,,
MAHRASHTRA,269,"M/s  :  Civil  Surgeon  General   Hospital  Blood  Bank,
Akola",,,
MAHRASHTRA,270,"M/s.Icon   Blood   Bank,   Icon   Hospital,   Kedia   Plots,
Akola",,,
MAHRASHTRA,271,"M/s.    Vasantrao    Naik    Govt.     Hosp.Blood    Bank,
Yavatmal",,,
MAHRASHTRA,272,M/s.Aishwarya Blood BankYavatmal,,,
MAHRASHTRA,273,"M/s : Satya Shanti Blood Bank, Pusad Dist. Yavatmal",,,
MAHRASHTRA,274,"M/s : Laxmi Blood Bank, Pusad, Dist. Yavatmal",,,
MAHRASHTRA,275,"M/s : Gajanan Blood Bank, Nehru chowk,
Yavatmal",,,
MAHRASHTRA,276,"M/s.Medical   Superident,   Gen.   Hosp.   Bloood   Bank,
Khamgaon, Dist. Buldana",,,
MAHRASHTRA,277,"M/s   :   Civil   Surgeon   General   Hospital   Blood   Bank
Buldana",,,
MAHRASHTRA,278,"M/s : Murlidhar  Kharche  Memorial Jivan Jyoti Blood
Bank, Malkapur",,,
MAHRASHTRA,279,M/s : Saibai Mote Blood Bank Shegaon Dist. Buldana,,,
MAHRASHTRA,280,"Shankiya    medical  collage  (Dean  Government  Medical
Collage blood ), Nagpur",,,
MAHRASHTRA,281,"M/s.Indian   Gandhi   medical   collage   Dean   I.G.M.C.
Blood bank",,,
MAHRASHTRA,282,M/s.Daga Memorial Hospital Blood  Bank Nagpur,,,
MAHRASHTRA,283,Dr. Hedgewar Blood Bank Nagpur,,,
